date,category,index
Jan-19,1,100
Feb-19,1,103.4
Mar-19,1,103.9
Apr-19,1,104
May-19,1,102
Jun-19,1,100.2
Jul-19,1,101.8
Aug-19,1,106
Sep-19,1,102.7
Oct-19,1,108
Nov-19,1,110.3
Dec-19,1,116.9
Jan-20,1,103.6
Feb-20,1,103.7
Mar-20,1,131.4
Apr-20,1,110.1
May-20,1,107.3
Jun-20,1,111
Jul-20,1,114.3
Aug-20,1,114.7
Sep-20,1,114.4
Oct-20,1,115.9
Nov-20,1,117
Dec-20,1,125.3
Jan-21,1,109.6
Feb-21,1,109.3
Mar-21,1,110.4
Apr-21,1,108.1
May-21,1,110
Jun-21,1,111.3
Jul-21,1,115.8
Aug-21,1,120.6
Sep-21,1,121
Oct-21,1,120.2
Nov-21,1,120.5
Dec-21,1,132
Jan-22,1,119
Feb-22,1,117.2
Mar-22,1,117.2
Apr-22,1,119.5
May-22,1,117.3
Jun-22,1,117
Jul-22,1,120.1
Aug-22,1,123.2
Sep-22,1,126.5
Oct-22,1,129.5
Nov-22,1,133
Dec-22,1,143.9
Jan-23,1,126.8
Feb-23,1,128.3
Mar-23,1,128.9
Apr-23,1,129.3
May-23,1,127.6
Jun-23,1,127.4
Jul-23,1,127.6
Aug-23,1,131
Sep-23,1,133.7
Oct-23,1,134.6
Nov-23,1,137.4
Dec-23,1,145.2
Jan-19,2,100
Feb-19,2,99.6
Mar-19,2,99.4
Apr-19,2,105.7
May-19,2,96.1
Jun-19,2,98.5
Jul-19,2,99.7
Aug-19,2,102.9
Sep-19,2,100.6
Oct-19,2,95.3
Nov-19,2,96.3
Dec-19,2,137.2
Jan-20,2,94.5
Feb-20,2,94.7
Mar-20,2,122.2
Apr-20,2,104.3
May-20,2,112.2
Jun-20,2,113.4
Jul-20,2,113.8
Aug-20,2,111
Sep-20,2,111.9
Oct-20,2,105.5
Nov-20,2,108.1
Dec-20,2,151.5
Jan-21,2,106.6
Feb-21,2,109.5
Mar-21,2,115
Apr-21,2,112.2
May-21,2,106
Jun-21,2,109.6
Jul-21,2,111.3
Aug-21,2,114.9
Sep-21,2,117.3
Oct-21,2,107
Nov-21,2,106.4
Dec-21,2,147.1
Jan-22,2,104.5
Feb-22,2,111.6
Mar-22,2,112.5
Apr-22,2,117.4
May-22,2,106.6
Jun-22,2,107.1
Jul-22,2,108.2
Aug-22,2,110.1
Sep-22,2,114.3
Oct-22,2,105.9
Nov-22,2,107.5
Dec-22,2,141.4
Jan-23,2,105.9
Feb-23,2,108.3
Mar-23,2,111.5
Apr-23,2,114.2
May-23,2,105.5
Jun-23,2,107.6
Jul-23,2,104.2
Aug-23,2,108.9
Sep-23,2,117.7
Oct-23,2,115.7
Nov-23,2,113.5
Dec-23,2,146.5
Jan-19,3,100
Feb-19,3,119
Mar-19,3,120
Apr-19,3,109
May-19,3,124.1
Jun-19,3,119.6
Jul-19,3,117.2
Aug-19,3,123.5
Sep-19,3,119.1
Oct-19,3,119.6
Nov-19,3,124.8
Dec-19,3,114.6
Jan-20,3,103.5
Feb-20,3,119.3
Mar-20,3,121.5
Apr-20,3,69.5
May-20,3,97.4
Jun-20,3,115.2
Jul-20,3,121.4
Aug-20,3,115.6
Sep-20,3,118
Oct-20,3,121.8
Nov-20,3,131.4
Dec-20,3,119.2
Jan-21,3,108.8
Feb-21,3,127.1
Mar-21,3,131.6
Apr-21,3,121.2
May-21,3,133.5
Jun-21,3,128.3
Jul-21,3,121.4
Aug-21,3,121
Sep-21,3,122.3
Oct-21,3,127.3
Nov-21,3,138.3
Dec-21,3,125.3
Jan-22,3,111.5
Feb-22,3,133.4
Mar-22,3,135.4
Apr-22,3,124.9
May-22,3,143.6
Jun-22,3,139.9
Jul-22,3,139.4
Aug-22,3,144.3
Sep-22,3,139.9
Oct-22,3,140.4
Nov-22,3,150.3
Dec-22,3,133.3
Jan-23,3,123.4
Feb-23,3,149
Mar-23,3,151.4
Apr-23,3,137.1
May-23,3,153.4
Jun-23,3,148.6
Jul-23,3,148.1
Aug-23,3,155.5
Sep-23,3,151.6
Oct-23,3,155
Nov-23,3,162.6
Dec-23,3,146.9
Jan-19,4,100
Feb-19,4,114.5
Mar-19,4,115.3
Apr-19,4,108.8
May-19,4,113
Jun-19,4,115.7
Jul-19,4,113.9
Aug-19,4,114.7
Sep-19,4,108.3
Oct-19,4,112.9
Nov-19,4,120.2
Dec-19,4,131
Jan-20,4,107.6
Feb-20,4,119
Mar-20,4,100.9
Apr-20,4,59.4
May-20,4,80.3
Jun-20,4,95.5
Jul-20,4,94.3
Aug-20,4,89.7
Sep-20,4,92.3
Oct-20,4,95.7
Nov-20,4,115.1
Dec-20,4,125.2
Jan-21,4,99.5
Feb-21,4,111.3
Mar-21,4,112.6
Apr-21,4,105.1
May-21,4,113
Jun-21,4,118.2
Jul-21,4,107.7
Aug-21,4,107.4
Sep-21,4,104.8
Oct-21,4,112.3
Nov-21,4,131.6
Dec-21,4,128.7
Jan-22,4,101.6
Feb-22,4,122.4
Mar-22,4,123.6
Apr-22,4,118.5
May-22,4,123.7
Jun-22,4,127.7
Jul-22,4,123
Aug-22,4,128
Sep-22,4,130
Oct-22,4,129.5
Nov-22,4,142
Dec-22,4,142.5
Jan-23,4,116.3
Feb-23,4,131.4
Mar-23,4,127.9
Apr-23,4,123.9
May-23,4,130.1
Jun-23,4,134.5
Jul-23,4,126.6
Aug-23,4,130.2
Sep-23,4,129.6
Oct-23,4,131.7
Nov-23,4,143
Dec-23,4,142.1
